scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,CZARNKOWSKI,0.004253576863289791,0.004470141421399901,1.050913517040013,0.050913517040013054
baseline,CZORTKOWSKI,0.004553548190668175,0.0045717020606041055,1.0039867525665225,0.003986752566522559
baseline,CZĘSTOCHOWSKI,0.0051728762363953,0.005460016141436381,1.055508752175593,0.055508752175592965
baseline,DOBROMILSKI,0.0053362780211274365,0.005362550699334724,1.0049234088072752,0.0049234088072750565
baseline,DOLIŃSKI,0.004842631172563612,0.0048662128901674415,1.0048696084346531,0.004869608434653061
baseline,DROHICKI,0.004009015308672882,0.004044238039613751,1.0087858808781973,0.008785880878197257
baseline,DROHOBYCKI,0.005452548113302701,0.005478193059645763,1.0047032957454325,0.0047032957454324065
baseline,DUBIEŃSKI,0.004314420264758406,0.004345897539924402,1.007295829621215,0.007295829621215144
baseline,DZIAŁDOWSKI,0.0048643751090713195,0.005153334958549616,1.0594032826414703,0.059403282641470365
baseline,DZIŚNIEŃSKI,0.002535490177408771,0.0025652898076637533,1.0117530056004544,0.011753005600454388
baseline,DĄBROWSKI,0.005622217497283565,0.005753655799961237,1.023378373878488,0.023378373878487988
baseline,GARWOLIŃSKI,0.005643041871986667,0.005783235786438458,1.0248436778659655,0.024843677865965464
baseline,GNIEŹNIEŃSKI,0.0058982944327167245,0.0061542181226708365,1.0433894395869001,0.04338943958690018
baseline,GORLICKI,0.005422498675527013,0.005542147073476832,1.0220651779021763,0.0220651779021763
baseline,GOSTYNIŃSKI,0.0053340602853852795,0.005869117280950887,1.1003095141297152,0.10030951412971519
baseline,GOSTYŃSKI,0.0051539819317995535,0.005407703044291736,1.0492281726730062,0.04922817267300618
baseline,GRODZIEŃSKI,0.004022461547233162,0.004078356647008754,1.013895744960953,0.013895744960952817
baseline,GRUDZIĄDZKI,0.005266608492948535,0.005623884789267401,1.067838020767487,0.06783802076748686
baseline,GRÓDECKI,0.005791925688145094,0.005822522227761574,1.0052826195058242,0.005282619505824264
baseline,GRÓJECKI,0.005060297753760877,0.005849967308793062,1.1560519940640435,0.1560519940640435
baseline,HOROCHOWSKI,0.004383243506370678,0.004536942027045409,1.0350650198765692,0.03506501987656918
baseline,HORODEŃSKI,0.003962462380882554,0.0039829899115929645,1.0051804985731723,0.005180498573172237
baseline,HRUBIESZOWSKI,0.00490828352978066,0.004958610591222063,1.010253495165071,0.01025349516507095
baseline,INOWROCŁAWSKI,0.005429984405781685,0.006130710184450541,1.129047475333952,0.12904747533395203
baseline,IWACEWICKI,0.00392302414616869,0.003959496021457273,1.0092968775948532,0.00929687759485313
baseline,IŁŻECKI,0.0054894573272153335,0.005713688581817,1.0408476177581316,0.04084761775813152
baseline,JANOWSKI,0.005638064812983782,0.005710973742284939,1.0129315521760687,0.012931552176068712
baseline,JAROCIŃSKI,0.005390629197070221,0.0057103457614625305,1.0593096933037192,0.059309693303719255
baseline,JAROSŁAWSKI,0.006011275375102831,0.006013112418950987,1.00030559968285,0.0003055996828501267
baseline,JASIELSKI,0.005493970945443856,0.005591519146149977,1.017755499924334,0.01775549992433394
baseline,JAWOROWSKI,0.005068534748521255,0.00509211658891186,1.0046525951898593,0.004652595189859387
baseline,JĘDRZEJOWSKI,0.005615191834422185,0.005937287719333501,1.0573615104183631,0.05736151041836313
baseline,KALISKI,0.004784440345779533,0.005088194638959754,1.0634879465992653,0.06348794659926528
baseline,KAMIONECKI,0.005504051669898882,0.005526251624008584,1.0040333840307334,0.00403338403073337
baseline,KARTUSKI,0.003575027984592325,0.003938619868825353,1.1017032274432643,0.10170322744326427
baseline,KATOWICE,0.006414894348209245,0.006820889640498902,1.0632894745028798,0.06328947450287985
baseline,KAŁUSKI,0.004633740461632506,0.004655064020020797,1.0046018024886916,0.004601802488691618
baseline,KIELECKI,0.005761257770470984,0.006035728637507907,1.0476407892116386,0.047640789211638564
baseline,KOBRYŃSKI,0.004454278024505289,0.004491218992385733,1.0082933682354835,0.008293368235483477
baseline,KOLBUSZOWSKI,0.005267639038142327,0.005334229735779036,1.0126414693859116,0.012641469385911566
baseline,KOLSKI,0.005628574411131764,0.006288475729303606,1.1172412888184866,0.1172412888184866
baseline,KONECKI,0.005784692601684993,0.0060503703240697235,1.0459277165924674,0.04592771659246732
baseline,KONIŃSKI,0.005325907285843794,0.005652114255494869,1.0612490890553294,0.06124908905532946
baseline,KOPYCZYNIECKI,0.004480808419653054,0.004474788329055015,0.9986564722179073,-0.0013435277820926256
baseline,KOSOWSKI (KOSÓW HUCULSKI),0.003627074684387098,0.0036579005348990217,1.0084988187986905,0.008498818798690605
baseline,KOSTOPOLSKI,0.003879792076407563,0.003943788046638683,1.016494690687233,0.016494690687232864
baseline,KOSZYRSKI,0.0032777913482917673,0.003305087480199269,1.00832759898574,0.008327598985739995
baseline,KOWELSKI,0.004822743609870303,0.004859512266791478,1.007624012366306,0.007624012366306112
baseline,KOZIENICKI,0.005505289153948207,0.005604747899112549,1.0180660347500574,0.018066034750057462
baseline,KOŁOMYJSKI,0.004452046716725676,0.004477146027893911,1.0056377016606632,0.005637701660663328
baseline,KOŚCIAŃSKI,0.0052653619717364965,0.0054773755143073775,1.0402657108303155,0.040265710830315396
baseline,KOŚCIERSKI,0.0038604604810721,0.0042650326922353465,1.1047989516138996,0.10479895161389954
baseline,KRAKOWSKI,0.006327972447624566,0.006810436719995931,1.0762431057285142,0.0762431057285143
